2020-08-26-2130,19.4,21.6,258.0
2020-08-26-2135,19.2,21.6,263.0
2020-08-26-2140,19.0,21.2,261.0
2020-08-26-2145,18.9,21.4,262.0
2020-08-26-2150,18.5,20.4,264.0
2020-08-26-2155,19.0,22.7,263.0
2020-08-26-2200,21.2,24.3,267.0
2020-08-26-2205,20.6,22.5,263.0
2020-08-26-2210,18.1,20.4,265.0
2020-08-26-2215,17.7,19.2,265.0
2020-08-26-2220,18.3,20.0,265.0
2020-08-26-2225,17.5,20.6,265.0
2020-08-26-2230,17.7,19.6,266.0
2020-08-26-2235,16.9,19.0,264.0
2020-08-26-2240,17.7,19.4,263.0
2020-08-26-2245,15.7,18.7,266.0
2020-08-26-2250,16.5,19.8,265.0
2020-08-26-2255,16.5,19.4,266.0
2020-08-26-2300,17.1,19.2,259.0
2020-08-26-2305,18.3,20.4,259.0
2020-08-26-2310,16.3,18.1,264.0
2020-08-26-2315,17.9,20.4,265.0
2020-08-26-2320,17.5,19.8,262.0
2020-08-26-2325,16.1,18.5,264.0
2020-08-26-2330,16.9,18.7,263.0
2020-08-26-2335,16.9,19.6,273.0
2020-08-26-2340,16.1,17.7,273.0
2020-08-26-2345,15.7,17.3,276.0
2020-08-26-2350,16.5,18.1,272.0
2020-08-26-2355,15.6,16.9,278.0
2020-08-27-0000,15.6,17.3,273.0
2020-08-27-0005,15.0,18.7,277.0
2020-08-27-0010,13.8,15.0,285.0
2020-08-27-0015,15.9,18.3,280.0
2020-08-27-0020,15.0,16.5,281.0
2020-08-27-0025,15.4,17.3,274.0
2020-08-27-0030,16.1,17.5,280.0
2020-08-27-0035,15.4,17.1,276.0
2020-08-27-0040,16.1,17.5,268.0
